fid,AREA_HA,PERIMETRO_M,TAMANHO,INDICE_FORMA,CLASSE_FORMA,AREA_NUCLEAR_HA,ISOLAMENTO_M,CLASSE_CONECTIVIDADE,MUNICIPIOS
1,3.52,1267.1,Muito pequeno (< 5 ha),1.91,"Alongado (1,5 ≤ DI < 2,0)",0.01,146.21,Média conectividade (100-500 m),Marataízes
2,3.14,1386.84,Muito pequeno (< 5 ha),2.21,"Muito alongado (DI ≥ 2,0)",0,146.21,Média conectividade (100-500 m),Marataízes
3,1.4,1050.7,Muito pequeno (< 5 ha),2.5,"Muito alongado (DI ≥ 2,0)",0,128.29,Média conectividade (100-500 m),Marataízes
4,1.3,917.97,Muito pequeno (< 5 ha),2.27,"Muito alongado (DI ≥ 2,0)",0,128.29,Média conectividade (100-500 m),Marataízes
5,1.42,610.32,Muito pequeno (< 5 ha),1.45,"Compacto (DI < 1,5)",0,867.38,Baixa conectividade (≥ 500 m),Marataízes
6,1.24,564.12,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,19.59,Alta conectividade (< 100 m),Marataízes
7,11.33,4010.7,Médio (10-100 ha),3.36,"Muito alongado (DI ≥ 2,0)",1.17,21.78,Alta conectividade (< 100 m),Marataízes
8,2.61,1235.49,Muito pequeno (< 5 ha),2.16,"Muito alongado (DI ≥ 2,0)",0,19.59,Alta conectividade (< 100 m),Marataízes
9,4.34,1776.31,Muito pequeno (< 5 ha),2.41,"Muito alongado (DI ≥ 2,0)",0,261.66,Média conectividade (100-500 m),Marataízes
10,3.61,1570.61,Muito pequeno (< 5 ha),2.33,"Muito alongado (DI ≥ 2,0)",0,223.6,Média conectividade (100-500 m),Marataízes
11,5.86,1687.62,Pequeno (5-10 ha),1.97,"Alongado (1,5 ≤ DI < 2,0)",0.14,261.66,Média conectividade (100-500 m),Marataízes
12,0.91,883.09,Muito pequeno (< 5 ha),2.62,"Muito alongado (DI ≥ 2,0)",0,273.65,Média conectividade (100-500 m),Marataízes
13,4.35,1542.31,Muito pequeno (< 5 ha),2.09,"Muito alongado (DI ≥ 2,0)",0.02,106.62,Média conectividade (100-500 m),Marataízes
14,1.84,845.51,Muito pequeno (< 5 ha),1.76,"Alongado (1,5 ≤ DI < 2,0)",0,208.25,Média conectividade (100-500 m),Marataízes
15,3.19,1169.63,Muito pequeno (< 5 ha),1.85,"Alongado (1,5 ≤ DI < 2,0)",0,106.62,Média conectividade (100-500 m),Marataízes
16,2.53,2237.02,Muito pequeno (< 5 ha),3.96,"Muito alongado (DI ≥ 2,0)",0,119.22,Média conectividade (100-500 m),Marataízes
17,3.56,1912.85,Muito pequeno (< 5 ha),2.86,"Muito alongado (DI ≥ 2,0)",0,402.48,Média conectividade (100-500 m),Marataízes
18,1.24,441.39,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0,359.4,Média conectividade (100-500 m),Marataízes
19,0.54,284.07,Muito pequeno (< 5 ha),1.09,"Compacto (DI < 1,5)",0,172.79,Média conectividade (100-500 m),Marataízes
20,1.67,754.99,Muito pequeno (< 5 ha),1.65,"Alongado (1,5 ≤ DI < 2,0)",0,119.22,Média conectividade (100-500 m),Marataízes
21,1.21,478.67,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0,359.4,Média conectividade (100-500 m),Marataízes
22,0.52,302.75,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0,289.24,Média conectividade (100-500 m),Marataízes
23,1,462.92,Muito pequeno (< 5 ha),1.31,"Compacto (DI < 1,5)",0,172.79,Média conectividade (100-500 m),Marataízes
24,1.51,900.15,Muito pequeno (< 5 ha),2.07,"Muito alongado (DI ≥ 2,0)",0,380.72,Média conectividade (100-500 m),Marataízes
25,1.04,732.96,Muito pequeno (< 5 ha),2.03,"Muito alongado (DI ≥ 2,0)",0,380.72,Média conectividade (100-500 m),Marataízes
26,0.96,479.53,Muito pequeno (< 5 ha),1.38,"Compacto (DI < 1,5)",0,296.48,Média conectividade (100-500 m),Marataízes
27,1.05,675.21,Muito pequeno (< 5 ha),1.86,"Alongado (1,5 ≤ DI < 2,0)",0,735.58,Baixa conectividade (≥ 500 m),Marataízes
28,0.98,681.07,Muito pequeno (< 5 ha),1.94,"Alongado (1,5 ≤ DI < 2,0)",0,13.11,Alta conectividade (< 100 m),Marataízes
30,0.62,374.11,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0,13.11,Alta conectividade (< 100 m),Marataízes
31,1.84,1479.17,Muito pequeno (< 5 ha),3.08,"Muito alongado (DI ≥ 2,0)",0,141.62,Média conectividade (100-500 m),Marataízes
35,3.13,1606.54,Muito pequeno (< 5 ha),2.56,"Muito alongado (DI ≥ 2,0)",0,100.19,Média conectividade (100-500 m),Marataízes
38,15.78,2184.81,Médio (10-100 ha),1.55,"Alongado (1,5 ≤ DI < 2,0)",6.07,249.34,Média conectividade (100-500 m),Marataízes
39,0.81,407.66,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0,182.35,Média conectividade (100-500 m),Marataízes
40,1.35,602.33,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,87.81,Alta conectividade (< 100 m),Marataízes
41,0.77,455.78,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0,625.29,Baixa conectividade (≥ 500 m),Marataízes
42,0.62,541.7,Muito pequeno (< 5 ha),1.95,"Alongado (1,5 ≤ DI < 2,0)",0,87.81,Alta conectividade (< 100 m),Marataízes
43,2.95,940.65,Muito pequeno (< 5 ha),1.54,"Alongado (1,5 ≤ DI < 2,0)",0,413.98,Média conectividade (100-500 m),Marataízes
44,1.87,721.9,Muito pequeno (< 5 ha),1.49,"Compacto (DI < 1,5)",0.02,524.8,Baixa conectividade (≥ 500 m),Marataízes
45,0.61,339.23,Muito pequeno (< 5 ha),1.22,"Compacto (DI < 1,5)",0,413.98,Média conectividade (100-500 m),Marataízes
46,3.69,1125.86,Muito pequeno (< 5 ha),1.65,"Alongado (1,5 ≤ DI < 2,0)",0,118.9,Média conectividade (100-500 m),Marataízes
48,1.03,508.5,Muito pequeno (< 5 ha),1.41,"Compacto (DI < 1,5)",0,296.81,Média conectividade (100-500 m),Marataízes
50,0.72,428.24,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,524.8,Baixa conectividade (≥ 500 m),Marataízes
51,2.83,1263.64,Muito pequeno (< 5 ha),2.12,"Muito alongado (DI ≥ 2,0)",0,296.81,Média conectividade (100-500 m),Marataízes
53,2.08,1430.87,Muito pequeno (< 5 ha),2.8,"Muito alongado (DI ≥ 2,0)",0,249.34,Média conectividade (100-500 m),Marataízes
54,1.98,753.74,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0,26.64,Alta conectividade (< 100 m),Marataízes
55,3.87,1997.64,Muito pequeno (< 5 ha),2.87,"Muito alongado (DI ≥ 2,0)",0,860.77,Baixa conectividade (≥ 500 m),Marataízes
56,0.89,401.56,Muito pequeno (< 5 ha),1.2,"Compacto (DI < 1,5)",0,335.1,Média conectividade (100-500 m),Marataízes
58,2.73,883.15,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0,118.9,Média conectividade (100-500 m),Marataízes
59,1.11,543.53,Muito pequeno (< 5 ha),1.45,"Compacto (DI < 1,5)",0,26.64,Alta conectividade (< 100 m),Marataízes
60,0.85,808.95,Muito pequeno (< 5 ha),2.48,"Muito alongado (DI ≥ 2,0)",0,399.44,Média conectividade (100-500 m),Marataízes
61,0.82,466.73,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,160.94,Média conectividade (100-500 m),Marataízes
62,1.62,752.26,Muito pequeno (< 5 ha),1.67,"Alongado (1,5 ≤ DI < 2,0)",0,573.55,Baixa conectividade (≥ 500 m),Marataízes
63,2.09,754.59,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0,399.44,Média conectividade (100-500 m),Marataízes
